epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,13109.8,0.45007,0.35336,0.85945,0.97794,0.96721,0.99206,0.93051,0.35529,0.28944,0.80883,0.0011618,0.0011618,0.0011618
129,13187,0.49664,0.37137,0.87507,0.98149,0.95902,0.9844,0.93606,0.30883,0.27873,0.79793,0.0011552,0.0011552,0.0011552
130,13261.1,0.48248,0.36159,0.86696,0.98275,0.96311,0.98177,0.9398,0.31267,0.29032,0.79883,0.0011486,0.0011486,0.0011486
131,13321.9,0.48407,0.37483,0.87458,0.99134,0.97131,0.98406,0.94142,0.31411,0.27636,0.79917,0.001142,0.001142,0.001142
132,13386.4,0.48247,0.3734,0.88325,0.98757,0.97691,0.99253,0.93829,0.32112,0.26835,0.79995,0.0011354,0.0011354,0.0011354
133,13510.3,0.48873,0.36655,0.88064,0.99011,0.98361,0.99447,0.94748,0.31629,0.25932,0.80027,0.0011288,0.0011288,0.0011288
134,13582,0.42266,0.32693,0.85242,0.99162,0.97025,0.99038,0.93637,0.32414,0.27008,0.80439,0.0011222,0.0011222,0.0011222
135,13641.2,0.48351,0.36664,0.86032,0.99165,0.97378,0.9898,0.93708,0.31282,0.26878,0.79967,0.0011156,0.0011156,0.0011156
136,13700,0.46191,0.35163,0.86392,0.98697,0.97951,0.99205,0.93605,0.30939,0.26356,0.80305,0.001109,0.001109,0.001109
137,13758.2,0.46979,0.35211,0.87096,0.9857,0.96721,0.99077,0.94149,0.32087,0.28111,0.80692,0.0011024,0.0011024,0.0011024
138,13856.5,0.4671,0.35852,0.87208,0.99121,0.97541,0.9925,0.94697,0.31112,0.26998,0.80352,0.0010958,0.0010958,0.0010958
139,13977.9,0.49202,0.37521,0.87151,0.99498,0.94672,0.98894,0.93861,0.30607,0.26853,0.79907,0.0010892,0.0010892,0.0010892
140,14100.9,0.45662,0.36051,0.8705,0.96641,0.98361,0.99209,0.9381,0.32261,0.26723,0.80563,0.0010826,0.0010826,0.0010826
141,14224.2,0.46763,0.36821,0.86433,0.98641,0.96311,0.99191,0.94411,0.31467,0.26518,0.80085,0.001076,0.001076,0.001076
142,14351.2,0.50036,0.36306,0.87748,0.98125,0.97951,0.99119,0.94157,0.33844,0.28139,0.80319,0.0010694,0.0010694,0.0010694
143,14424.8,0.47754,0.35771,0.87184,0.99039,0.96311,0.98982,0.93945,0.3165,0.27802,0.80506,0.0010628,0.0010628,0.0010628
144,14480.4,0.48077,0.35633,0.87349,0.98339,0.98361,0.99255,0.94731,0.30651,0.25514,0.80001,0.0010562,0.0010562,0.0010562
145,14537.4,0.46744,0.34914,0.85219,0.98573,0.96721,0.99194,0.95116,0.3055,0.25594,0.8019,0.0010496,0.0010496,0.0010496
146,14595.1,0.47714,0.35834,0.87292,0.97533,0.97237,0.98942,0.94461,0.32852,0.2602,0.80438,0.001043,0.001043,0.001043
147,14651.6,0.45953,0.35729,0.86315,0.99576,0.96192,0.99322,0.93835,0.32308,0.26087,0.80499,0.0010364,0.0010364,0.0010364
148,14707.9,0.4289,0.33666,0.85929,0.98081,0.97541,0.99121,0.94821,0.29588,0.26496,0.79669,0.0010298,0.0010298,0.0010298
149,14764.1,0.47359,0.37502,0.87806,0.98655,0.97541,0.99295,0.94313,0.29103,0.25658,0.79669,0.0010232,0.0010232,0.0010232
150,14820.1,0.43432,0.34208,0.85894,0.99545,0.96721,0.99394,0.94878,0.30582,0.24815,0.80053,0.0010166,0.0010166,0.0010166
